-122.2685713,37.8708668,2080,ADDISON ST,15,BERKELEY,,,94704,57-2023-1,f5f7b6b6ca4c32a0
-122.2920667,37.8602457,940,DWIGHT WY,,BERKELEY,,,94710,54-1778-16,cbc3d1ac1dfaf604
-122.2533157,37.8637058,2601,COLLEGE AVE,105,BERKELEY,,,94704,055 184803200,03282196908d7673
-122.2914887,37.8709131,1129,HEARST AVE,C,BERKELEY,,,94702,057 208605100,3617f857c9abbf68
-122.2541245,37.8640795,2540,COLLEGE AV,107,BERKELEY,,,94704,55-1846-15-1,38bfdd672748dfd5
-122.2694284,37.8678249,2020,KITTREDGE ST,202,BERKELEY,,,94704,57-2028-14-2,9d176e5b6bdf64e3
-122.2764317,37.8612082,2542,MCGEE AV,,BERKELEY,,,94703,54-1805-6,e26818f5206f1835
-122.2760998,37.8762485,1636,GRANT ST,C,BERKELEY,,,94703,58-2162-6,a16998607c294bd7
-122.2851644,37.8733541,1374,FRANCISCO ST,,BERKELEY,,,94702,058 214200500,0e83bff4f6c62e82
-122.2669273,37.9011895,590,GRIZZLY PEAK BL,,BERKELEY,,,94708,63-2955-5,14b264ecb3b0c20d
-122.2878533,37.8797788,1325,PERALTA AV,,BERKELEY,,,94702,60-2416-68,b24e127f313fbffe
-122.2707209,37.874742,2005,DELAWARE ST,,BERKELEY,,,94709,58-2176-14,5bcaf6fec3c1f760
-122.2724508,37.9022113,460,KENTUCKY AV,,BERKELEY,,,94707,62-2944-10,a3ea01a6c79daf43
-122.2801,37.8886484,1003,SIERRA ST,,BERKELEY,,,94707,061 261703700,1dd7df6f37c31f69
-122.2824713,37.8960405,636,SANTA ROSA AVE,,BERKELEY,,,94707,062 289004300,557a7c721beda8ee
-122.2827961,37.863659,1408,CHANNING WY,,BERKELEY,,,94702,56-1919-2,21b5b50c479ef42c
-122.2779386,37.9003851,556,ARLINGTON AVE,,BERKELEY,,,94707,062 292301900,4ee656e2cf233f89
-122.2551979,37.8546492,3028,HILLEGASS AVE,,BERKELEY,,,94705,052 156001200,40d105ba7bc6eb6f
-122.2681385,37.8671303,2322,SHATTUCK AV,405,BERKELEY,,,94704,55-1894-17-4,25830d53a5897bc4
-122.2666487,37.8799454,1515,OXFORD ST,1A,BERKELEY,,,94709,59-2256-39,0bceea51b2e8f496
-122.286954,37.8785123,1341,ADA ST,,BERKELEY,,,94702,060 242304800,68e2215c8976e6c5
-122.2435595,37.8568152,35,DOMINGO AV,,BERKELEY,,,94705,64-4242-1,ddb926eb0147a932
-122.2773334,37.8772256,1600,EDITH ST,,BERKELEY,,,94703,58-2163-4,972ab7570cb8b977
-122.2924336,37.876628,1475,STANNAGE AVE,,BERKELEY,,,94702,060 239301800,787c53600c31923c
-122.2590652,37.8947354,1014,CRESTON RD,A,BERKELEY,,,94708,63-2968-38,8d6e3c743df229cf
-122.2516647,37.8825817,1468,OLYMPUS AV,1,BERKELEY,,,94708,60-2483-4,fdd94e9b1df66609
-122.2677459,37.8820313,2136,ROSE ST,,BERKELEY,,,94709,59-2258-2,0808d4cce0c73d9c
-122.2879382,37.8757505,1310,CEDAR ST,B,BERKELEY,,,94702,58-2138-14-4,477dfc0f8d7096b0
-122.272415,37.8914616,960,INDIAN ROCK AV,,BERKELEY,,,94707,61-2578-27,b45a7e48737b1e05
-122.2797688,37.8620906,1528,DWIGHT WAY,,BERKELEY,,,94703,054 179702200,78714ddfcddc9846
-122.259501,37.876795,2552,LE CONTE AV,1E,BERKELEY,,,94709,58-2199-17,b5da480014abc990
-122.2688453,37.8885729,1023,SHATTUCK AVE,,BERKELEY,,,94707,061 255805300,81699facb146fbd7
-122.270953,37.8809326,1420,HENRY ST,,BERKELEY,,,94709,59-2265-9,227ef08d00e4020b
-122.2497335,37.8827061,38,SENIOR AV,,BERKELEY,,,94708,60-2489-23,45d98b9cd19e41cf
-122.2621904,37.8622261,2609,ELLSWORTH ST,304,BERKELEY,,,94704,55-1833-17-1,6a225ddeccbde770
-122.2556352,37.8724074,2299,PIEDMONT AV,466,BERKELEY,,,94720,57-2042-4-10,d2c4f5bcb5841b10
-122.3006612,37.8693766,1824,FOURTH ST,,BERKELEY,,,94710,57-2102-5-1,73083cb07a44a94d
-122.2827576,37.8658029,1423,BANCROFT WY,,BERKELEY,,,94702,56-1998-29,28ece6cde4265d55
-122.2945864,37.8608668,2430,SEVENTH ST,,BERKELEY,,,94710,056 194001200,92207fc4d3c32a29
-122.2901864,37.8769283,1233,ROSE ST,,BERKELEY,,,94702,59-2293-11,c7937da951d8187f
-122.2559907,37.8758958,2717,HEARST AVE,,BERKELEY,,,94709,058 220200700,44bd0b548875ae9e
-122.2524566,37.8660905,2729,DWIGHT WY,201,BERKELEY,,,94704,55-1867-8-1,93498057c5e334a4
-122.255251,37.8559318,2960,HILLEGASS AVE,,BERKELEY,,,94705,052 157303600,6ead51cc57dcd149
